,Name,Country,Latitude,Longitude,DT,Weather,Temperature,Max. Temperature,Min. Temperature,Clouds,Wind Speed,Humidity,Pressure,Sunrise,Sunset
0,Tasiilaq,GL,65.61,-37.64,1538182200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",41.0,41.0,41.0,0,20.8,38,993.0,1538210078,1538251525
1,Sabang,PH,13.72,123.58,1538184080,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",79.53,79.53,79.53,32,5.17,100,1011.1,1538170500,1538213822
2,Chuy,UY,-33.69,-53.46,1538183836,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",62.79,62.79,62.79,92,23.4,96,1027.31,1538212415,1538256911
3,Ornskoldsvik,SE,63.29,18.72,1538182200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",28.4,28.4,28.4,12,6.93,86,1013.0,1538196435,1538238130
4,Bambous Virieux,MU,-20.34,57.76,1538182800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",71.6,71.6,71.6,20,10.29,73,1020.0,1538185942,1538229996
5,Puerto Ayora,EC,-0.74,-90.35,1538179200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",75.2,75.2,75.2,20,17.22,73,1010.0,1538221695,1538265302
6,Lakatoro,VU,-16.11,167.42,1538179200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",77.0,77.0,77.0,90,16.11,83,1013.0,1538159689,1538203620
7,Cape Town,ZA,-33.93,18.42,1538182800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",50.0,50.0,50.0,20,4.7,81,1026.0,1538195176,1538239656
8,Sayyan,YE,15.17,44.32,1538184081,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",43.53,43.53,43.53,0,2.71,42,788.1,1538189537,1538232820
9,Poronaysk,RU,49.22,143.1,1538184082,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",54.51,54.51,54.51,0,3.94,83,993.99,1538166214,1538208700
10,Inhambane,MZ,-23.87,35.38,1538184082,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",72.33,72.33,72.33,0,7.52,100,1025.77,1538191263,1538235418
11,Dawei,MM,14.07,98.19,1538184082,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",74.31,74.31,74.31,12,2.26,97,994.16,1538176597,1538219909
12,Terme,TR,41.21,36.97,1538182200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",51.8,51.8,51.8,0,4.7,87,1017.0,1538191589,1538234268
13,Hobart,AU,-42.88,147.33,1538182800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",53.6,53.6,53.6,40,19.46,64,1017.0,1538164096,1538208885
14,East London,ZA,-33.02,27.91,1538183865,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",65.31,65.31,65.31,0,30.33,100,1033.15,1538192916,1538237360
15,Khorixas,NA,-20.37,14.96,1538184082,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",54.96,54.96,54.96,0,2.82,85,913.18,1538196207,1538240270
16,Mar del Plata,AR,-46.43,-67.52,1538183819,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",57.03,57.03,57.03,0,10.65,50,985.16,1538215506,1538260586
17,Honiara,SB,-9.43,159.96,1538182800,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",87.8,87.8,87.8,75,6.93,66,1009.0,1538161550,1538205333
18,Ihtiman,BG,42.44,23.81,1538182800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",44.6,44.6,44.6,0,2.24,82,1017.0,1538194767,1538237404
19,Karratha,AU,-20.74,116.85,1538184083,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",69.0,69.0,69.0,0,4.61,61,1013.61,1538171764,1538215817
20,Butaritari,KI,3.07,172.79,1538183844,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",85.29,85.29,85.29,0,6.85,100,1023.02,1538158593,1538202123
21,Ilulissat,GL,69.22,-51.1,1538182200,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",32.0,32.0,32.0,92,10.29,99,1014.0,1538213493,1538254551
22,Saskylakh,RU,71.97,114.09,1538184083,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",31.74,31.74,31.74,92,12.21,94,1018.48,1538173903,1538214849
23,College,US,64.86,-147.8,1538182680,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",54.68,55.04,54.5,1,11.41,7,1027.0,1538236541,1538277930
24,Antalaha,MG,-14.9,50.28,1538184083,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",70.8,70.8,70.8,80,11.21,94,1017.99,1538187802,1538231721
25,Albany,US,42.65,-73.75,1538182440,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",54.07,57.02,50.0,40,3.36,86,1019.0,1538218202,1538260786
26,Yerbogachen,RU,61.28,108.01,1538183796,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",32.73,32.73,32.73,0,2.37,84,1002.34,1538174903,1538216820
27,Ushuaia,AR,-54.81,-68.31,1538184084,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",33.36,33.36,33.36,88,1.7,100,958.33,1538215418,1538261072
28,Thompson,CA,55.74,-97.86,1538182800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",32.0,32.0,32.0,90,10.29,73,1016.0,1538224242,1538266292
29,Nueve de Julio,AR,-31.67,-68.39,1538184084,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",70.44,70.44,70.44,0,12.21,27,931.33,1538216030,1538260458
30,Timbiqui,CO,2.77,-77.67,1538184084,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",74.31,74.31,74.31,92,3.38,100,1004.77,1538218690,1538262220
31,Watertown,US,44.9,-97.12,1538182380,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",45.79,48.02,42.08,1,3.36,11,1024.0,1538223850,1538266349
32,Codrington,AU,-28.95,153.24,1538184085,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",73.14,73.14,73.14,0,8.19,71,1007.04,1538162927,1538207200
33,Goderich,CA,43.74,-81.71,1538184085,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",56.67,56.67,56.67,92,15.46,78,1001.13,1538220130,1538262676
34,Rikitea,PF,-23.12,-134.97,1538184085,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",71.88,71.88,71.88,92,4.83,100,1024.15,1538232129,1538276301
35,Yellowknife,CA,62.45,-114.38,1538182800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",33.8,33.8,33.8,75,18.34,64,1022.0,1538228410,1538270032
36,Port Alfred,ZA,-33.59,26.89,1538184085,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",63.06,63.06,63.06,0,26.98,85,1028.94,1538193151,1538237616
37,Dukat,RS,42.44,22.31,1538184085,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",42.36,42.36,42.36,36,2.71,67,917.23,1538195127,1538237763
38,Atuona,PF,-9.8,-139.03,1538184085,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",79.53,79.53,79.53,76,10.65,100,1022.94,1538233274,1538277092
39,Ribeira Grande,PT,38.52,-28.7,1538184086,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",73.23,73.23,73.23,32,12.55,100,1035.58,1538207324,1538250051
40,Chokurdakh,RU,70.62,147.9,1538184086,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",30.21,30.21,30.21,56,6.17,100,1027.31,1538165682,1538206855
41,Cabo San Lucas,MX,22.89,-109.91,1538178600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",83.35,84.2,82.4,75,5.82,78,1012.0,1538226637,1538269727
42,Castro,CL,-42.48,-73.76,1538184086,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",48.21,48.21,48.21,80,8.41,100,1001.86,1538217102,1538261978
43,Qaanaaq,GL,77.48,-69.36,1538184086,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",13.29,13.29,13.29,0,11.77,100,983.21,1538218658,1538258072
44,Ponta do Sol,BR,-20.63,-46.0,1538184087,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",73.77,73.77,73.77,68,7.52,60,927.04,1538210825,1538254907
45,Ossora,RU,59.24,163.07,1538184087,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",45.78,45.78,45.78,0,2.93,100,1007.69,1538161613,1538203694
